trip_id,user_id,age
726765,168928,24.0
726765,34621,27.0
726765,25598,
726765,369791,23.0
726771,584260,23.0
726771,586680,25.0
726774,581472,18.0
726774,276216,20.0
726771,586683,23.0
726771,586684,24.0
726771,586673,23.0
726774,579506,22.0
726771,588510,25.0
726771,586703,23.0
726774,519392,18.0
726774,578320,18.0
726769,45191,25.0
726769,592391,25.0
726769,592367,24.0
726769,592374,23.0
726769,240835,24.0
726767,168525,21.0
726767,173982,21.0
726767,182529,25.0
726767,182791,20.0
726767,144721,23.0
726767,184922,21.0
726786,51289,28.0
726792,526767,25.0
726795,303502,26.0
726795,92138,27.0
726795,296178,27.0
726795,319028,28.0
726795,166134,33.0
726795,463589,29.0
726802,23999,
726813,88229,26.0
726802,588945,22.0
726802,586716,22.0
726813,154112,27.0
726813,504273,30.0
726802,586084,22.0
726813,590595,29.0
726802,584952,22.0
726813,168543,27.0
726802,584960,22.0
726813,590515,29.0
726813,590931,29.0
726813,169253,29.0
726802,584961,22.0
726802,586718,22.0
726813,527007,29.0
726802,586083,22.0
726802,584948,22.0
726820,588406,38.0
726820,566660,31.0
726820,566021,29.0
726820,589997,6.0
726814,364589,23.0
726814,356681,24.0
726814,30870,24.0
726814,537939,25.0
726814,257347,23.0
726814,364585,23.0
726814,424089,
726814,468689,24.0
726814,356545,23.0
726810,588207,26.0
726824,75631,22.0
726824,36452,24.0
726824,214852,21.0
726824,45567,23.0
726824,94288,21.0
726822,188303,24.0
726822,112349,27.0
726822,261844,24.0
726822,219003,24.0
726822,587713,24.0
726822,591960,24.0
726822,587755,24.0
726822,587674,24.0
726822,587636,24.0
726848,440399,22.0
726835,306970,21.0
726853,410566,19.0
726853,458304,19.0
726853,118895,23.0
726853,431478,19.0
726836,591140,36.0
726836,584320,25.0
726836,591153,36.0
726836,591147,28.0
726836,591163,35.0
726836,591148,28.0
726836,591193,28.0
726836,591151,27.0
726836,591150,39.0
726836,591162,29.0
726829,80475,21.0
726829,67285,21.0
726829,365001,22.0
726859,367205,21.0
726829,75830,21.0
726859,203759,21.0
726859,484643,21.0
726859,217783,21.0
726859,187569,21.0
726829,588377,21.0
726859,78761,21.0
726846,46283,25.0
726846,76807,21.0
726846,75576,22.0
726846,45145,25.0
726846,45068,21.0
726859,367301,21.0
726846,45463,21.0
726861,313997,20.0
726861,334356,19.0
726861,344786,20.0
726842,185263,22.0
726842,580073,23.0
726842,444671,22.0
726869,53424,
726842,195553,23.0
726869,369044,18.0
726869,384667,25.0
726869,579483,18.0
726869,239511,24.0
726869,453338,19.0
726869,583282,18.0
726869,584459,21.0
726869,585437,22.0
726869,585491,18.0
726871,584501,18.0
726871,585515,18.0
726871,443995,18.0
726856,193009,21.0
726856,114361,22.0
726856,260914,22.0
726856,126465,22.0
726856,254962,21.0
726874,428590,19.0
726874,428645,19.0
726856,219915,21.0
726874,428069,19.0
726874,427756,20.0
726874,428559,19.0
726874,592427,19.0
726874,592426,19.0
726874,460895,21.0
726874,428587,19.0
726875,582624,18.0
726875,592430,19.0
726874,592433,19.0
726875,592454,20.0
726879,118702,25.0
726879,157285,23.0
726879,40829,24.0
726879,61812,23.0
726879,251145,26.0
726879,158565,24.0
726879,115031,27.0
726879,251138,27.0
726875,592453,20.0
726888,23024,23.0
726875,592457,20.0
726888,31971,23.0
726875,592458,18.0
726888,592413,27.0
726888,60856,21.0
726875,592459,20.0
726866,30926,24.0
726866,105337,26.0
726866,36206,26.0
726880,255971,22.0
726880,197610,23.0
726895,592308,25.0
726895,163557,25.0
726880,197611,22.0
726895,415,
726895,254519,26.0
726895,592305,27.0
726895,592307,25.0
726895,592295,25.0
726887,63098,26.0
726898,94895,21.0
726898,483936,20.0
726898,414920,20.0
726898,446351,19.0
726898,325837,19.0
726898,138851,20.0
726905,216780,23.0
726905,445931,23.0
726905,487481,24.0
726905,60937,23.0
726905,546809,23.0
726892,131630,21.0
726892,131638,21.0
726892,592448,21.0
726892,592452,21.0
726905,320541,
726892,220906,21.0
726877,333914,22.0
726892,130706,21.0
726877,252286,20.0
726877,174139,20.0
726877,276653,22.0
726892,94258,24.0
726877,323354,20.0
726907,169138,23.0
726907,169144,24.0
726907,29660,24.0
726907,169135,24.0
726907,20858,
726907,428908,24.0
726907,148362,24.0
726907,74982,22.0
726907,11601,23.0
726912,332584,19.0
726912,592117,20.0
726900,369791,23.0
726900,168928,24.0
726900,25598,
726920,526767,25.0
726922,87763,21.0
726922,116172,23.0
726922,558440,18.0
726922,591871,48.0
726922,592038,21.0
726922,373564,19.0
726928,411488,23.0
726928,36179,22.0
726922,592040,24.0
726922,592168,23.0
726928,102404,24.0
726933,584948,22.0
726933,584960,22.0
726933,23999,
726928,586936,23.0
726933,584952,22.0
726933,586084,22.0
726933,588945,22.0
726933,586083,22.0
726933,584961,22.0
726924,99365,22.0
726934,591625,23.0
726927,94145,23.0
726927,274275,24.0
726927,35203,24.0
726924,76793,21.0
726924,81859,21.0
726924,268818,21.0
726945,485802,19.0
726943,435480,24.0
726945,592482,18.0
726945,592480,20.0
726943,122736,22.0
726943,122583,25.0
726943,302724,23.0
726931,181202,21.0
726960,32677,3.0
726966,261844,24.0
726966,564563,25.0
726966,587755,24.0
726967,182001,20.0
726967,193438,21.0
726967,114827,21.0
726966,188303,24.0
726967,84938,20.0
726967,187496,25.0
726966,66484,26.0
726966,587674,24.0
726966,587713,24.0
726966,587636,24.0
726967,94029,21.0
726966,112349,27.0
726966,54886,25.0
726965,194848,28.0
726963,591404,27.0
726963,591011,24.0
726963,591414,27.0
726963,591397,24.0
726963,591402,24.0
726975,592491,22.0
726974,402050,24.0
726974,402983,23.0
726974,402981,23.0
726974,224866,22.0
726974,224872,22.0
726980,591832,27.0
726980,484887,25.0
726980,564124,24.0
726980,261172,26.0
726980,38413,24.0
726980,203466,23.0
726982,88229,26.0
726982,527007,29.0
726982,504273,30.0
726982,590595,29.0
726982,590515,29.0
726982,590931,29.0
726983,463162,26.0
726984,188303,24.0
726984,112349,27.0
726984,564563,25.0
726984,587755,24.0
726984,587713,24.0
726984,66484,26.0
726984,587636,24.0
726984,587674,24.0
726984,261844,24.0
726984,54886,25.0
726986,591148,28.0
726986,591153,36.0
726986,591193,28.0
726986,591150,39.0
726986,591147,28.0
726986,591151,27.0
726986,591163,35.0
726986,591099,22.0
726986,591140,36.0
726986,584320,25.0
726986,591162,29.0
726991,410566,19.0
726991,431478,19.0
726994,193438,21.0
726994,94029,21.0
726994,74491,21.0
726994,227919,21.0
726994,223453,20.0
726994,187496,25.0
726994,592488,20.0
726995,306970,21.0
726996,588530,27.0
726993,429078,20.0
726993,316823,24.0
726993,423540,21.0
726993,592509,21.0
726993,299148,24.0
