trip_id,booking_user_id,pick_up_latitude,pick_up_longitude,drop_off_latitude,drop_off_longitude,pick_up_address,drop_off_address,trip_datetime,passenger_count,date,hour,day_of_week,is_weekend,time_of_day,group_size_from_checked,group_size
734889,599898,30.2958783,-97.7440765,30.2848691,-97.7355144,"shoal crest, rio grande st, austin, united states, 78705","robert l. patton building (rlp), east 23rd street, austin, tx, usa",2025-09-08 11:47:04,9,2025-09-08,11,Monday,False,morning,1,9
734888,599898,30.2847998,-97.735696,30.2957108,-97.7442129,"university campus, e 23rd st, austin, united states, 78712","cabo bob's burritos, rio grande street, austin, tx, usa",2025-09-08 11:07:23,9,2025-09-08,11,Monday,False,morning,1,9
734886,40479,30.270065,-97.750424,30.2655835,-97.7333707,"market district, w 6th st, austin, united states, 78701","601 brushy street, austin, tx, usa",2025-09-08 02:18:18,7,2025-09-08,2,Monday,False,night,1,7
734882,188142,30.2874096,-97.7451611,30.2669106,-97.7391248,"west campus, w 23rd st, austin, united states, 78705","the aquarium on 6th, east 6th street, austin, tx, usa",2025-09-08 00:21:25,10,2025-09-08,0,Monday,False,night,8,10
734880,40479,30.2656735,-97.7336251,30.2662955,-97.7451516,"east end, e 6th st, austin, united states, 78702","coconut club, colorado street, austin, tx, usa",2025-09-07 23:29:21,8,2025-09-07,23,Sunday,True,night,3,8
734879,599870,30.3581818,-97.5130096,30.27027,-97.749694,"13608 clara martin, manor, tx, usa","buford's, west 6th street, austin, tx, usa",2025-09-07 23:06:20,10,2025-09-07,23,Sunday,True,night,1,10
734874,209067,30.2578876,-97.7263104,30.2492276,-97.7495251,"east cesar chavez, e cesar chavez st, austin, united states, 78702","1415 s congress ave, austin, tx 78704, united states",2025-09-07 22:15:39,9,2025-09-07,22,Sunday,True,night,1,9
734871,413064,30.2928093,-97.7398999,30.2873853,-97.7424943,"north university, w 29th st, austin, united states, 78705","the castilian, san antonio street, austin, tx, usa",2025-09-07 21:52:06,5,2025-09-07,21,Sunday,True,night,1,5
734870,447916,30.281902,-97.7056621,30.2847095,-97.7434527,"east austin, harvey st, austin, united states, 78702","the callaway house austin, west 22nd street, austin, tx, usa",2025-09-07 21:58:54,8,2025-09-07,21,Sunday,True,night,8,8
734869,83752,30.2514927,-97.7021275,30.2891178,-97.7480087,"govalle, e cesar chavez st, austin, united states, 78702","the villas at san gabriel, san gabriel street, austin, tx, usa",2025-09-07 21:41:38,11,2025-09-07,21,Sunday,True,night,10,11
734867,413064,30.2652581,-97.7453008,30.2925935,-97.7394252,"2nd street district, colorado st, austin, united states, 78701","scottish rite dormitory, west 27th street, austin, tx, usa",2025-09-07 21:34:21,7,2025-09-07,21,Sunday,True,night,1,7
734863,427447,30.1633148,-97.7891551,30.2903076,-97.7430597,"south austin, s ih-35 service rd, austin, united states, 78748","rambler apartments, seton avenue, austin, tx, usa",2025-09-07 21:25:55,6,2025-09-07,21,Sunday,True,night,3,6
734862,447928,30.2858491,-97.7425158,30.2820797,-97.7057133,"the drag, san antonio st, austin, united states, 78705","zeds real fruit ice cream, harvey street, austin, tx, usa",2025-09-07 21:15:56,8,2025-09-07,21,Sunday,True,night,8,8
734859,465146,30.2997079,-97.7211404,30.2847095,-97.7434527,"hancock, austin, united states, 78751","the callaway house austin, west 22nd street, austin, tx, usa",2025-09-07 21:03:47,10,2025-09-07,21,Sunday,True,night,10,10
734855,328323,30.382213,-97.9515124,30.2889763,-97.7432405,"travis southwest, bella cima dr, austin, united states, 78734","alpha chi omega, nueces street, austin, tx, usa",2025-09-07 21:06:43,7,2025-09-07,21,Sunday,True,night,7,7
734854,599801,30.2654872,-97.7484021,30.2873853,-97.7424943,"2nd street district, w 2nd st, austin, united states, 78701","the castilian, san antonio street, austin, tx, usa",2025-09-07 20:41:30,9,2025-09-07,20,Sunday,True,evening,9,9
734853,595204,30.2454026,-97.7304691,30.2873853,-97.7424943,"1618 asian fusion, east riverside drive, austin, tx, usa","the castilian, san antonio street, austin, tx, usa",2025-09-07 20:33:31,9,2025-09-07,20,Sunday,True,evening,8,9
734851,365958,30.2616642,-97.7601048,30.2847095,-97.7434527,"barton springs, barton springs rd, austin, united states, 78704","the callaway house austin, west 22nd street, austin, tx, usa",2025-09-07 20:11:22,10,2025-09-07,20,Sunday,True,evening,10,10
734849,531314,30.2975682,-97.7840602,30.2914874,-97.6981212,"tarrytown, scenic dr, austin, united states, 78703","3901 berkman drive, austin, tx, usa",2025-09-07 19:57:44,8,2025-09-07,19,Sunday,True,evening,7,8
734843,261629,30.2890712,-97.7481069,30.2514145,-97.7022034,"west campus, san gabriel st, austin, united states, 78705","de nada cantina, east cesar chavez street, austin, tx, usa",2025-09-07 19:24:22,11,2025-09-07,19,Sunday,True,evening,9,11
734841,427447,30.2897526,-97.7429714,30.1633017,-97.7891814,"the drag, nueces st, austin, united states, 78705","texas roadhouse, south interstate 35 frontage road, austin, tx, usa",2025-09-07 19:16:54,7,2025-09-07,19,Sunday,True,evening,3,7
734840,599801,30.2873851,-97.7416325,30.2656938,-97.7485706,"the drag, guadalupe st, austin, united states, 78705","local foods -- 2nd street district, west 2nd street, austin, tx, usa",2025-09-07 19:13:26,9,2025-09-07,19,Sunday,True,evening,9,9
734838,577473,30.2589359,-97.7287564,30.2847095,-97.7434527,"east cesar chavez, e cesar chavez st, austin, united states, 78702","505 west 22nd street, austin, tx, usa",2025-09-07 19:00:25,5,2025-09-07,19,Sunday,True,evening,5,5
734836,599729,30.2694691,-97.7492277,30.2762514,-97.7062845,"market district, w 6th st, austin, united states, 78701","2924 east 12th street, austin, tx, usa",2025-09-07 18:46:34,7,2025-09-07,18,Sunday,True,evening,1,7
734835,595445,30.2277034,-97.7514631,30.2628309,-97.7415705,"st. edwards, austin, united states, 78704","304 east cesar chavez street, austin, tx, usa",2025-09-07 18:47:19,5,2025-09-07,18,Sunday,True,evening,1,5
734831,238659,30.2877988,-97.7441382,30.2514145,-97.7022034,"the drag, nueces st, austin, united states, 78705","de nada cantina, east cesar chavez street, austin, tx, usa",2025-09-07 18:31:51,13,2025-09-07,18,Sunday,True,evening,15,13
734822,365958,30.2851279,-97.7435047,30.2616576,-97.7600367,"west campus, w 22nd st, austin, united states, 78705","juliet italian kitchen- barton springs, barton springs road, austin, tx, usa",2025-09-07 18:18:49,11,2025-09-07,18,Sunday,True,evening,10,11
734818,9185,30.3484313,-97.7976754,30.2287612,-97.7669678,"n capital of texas hwy, austin, united states, 78746","tree apartments, south 1st street, austin, tx, usa",2025-09-07 18:11:39,10,2025-09-07,18,Sunday,True,evening,5,10
734810,595204,30.2873853,-97.7424943,30.2454026,-97.7304691,"the castilian, san antonio street, austin, tx, usa","1618 asian fusion, east riverside drive, austin, tx, usa",2025-09-07 17:54:03,9,2025-09-07,17,Sunday,True,evening,8,9
734808,595332,30.4109496,-97.6762072,30.2697584,-97.7481007,"lamplight village, austin, united states, 78753","little woodrow's west 6th, west 6th street, austin, tx, usa",2025-09-07 17:24:41,14,2025-09-07,17,Sunday,True,evening,1,14
734802,577468,30.2850774,-97.7435906,30.2588167,-97.7287915,"west campus, w 22nd st, austin, united states, 78705","casa bianca, east cesar chavez street, austin, tx, usa",2025-09-07 16:35:35,5,2025-09-07,16,Sunday,True,afternoon,5,5
734797,599613,30.3441068,-97.8738063,30.2621645,-97.7323115,"travis southwest, cliffwood dr, austin, united states, 78733","1112 east 3rd street, austin, tx, usa",2025-09-07 16:23:56,8,2025-09-07,16,Sunday,True,afternoon,1,8
734790,597710,30.3499003,-97.7970287,30.2498,-97.8317727,"pennybacker bridge, north capital of texas highway, austin, tx, usa","4401 mesquite spring cove, austin, tx, usa",2025-09-07 15:58:35,9,2025-09-07,15,Sunday,True,afternoon,1,9
734788,599729,30.298297,-97.7049921,30.2696809,-97.7492075,"mueller, aldrich st, austin, united states, 78723","the rustic tap, west 6th street, austin, tx, usa",2025-09-07 16:00:07,7,2025-09-07,16,Sunday,True,afternoon,1,7
734783,287651,30.4236208,-97.9498736,30.3444884,-97.8739245,"travis southwest, rocky ridge rd, austin, united states, 78734","1604 cliffwood drive, austin, tx, usa",2025-09-07 15:22:48,14,2025-09-07,15,Sunday,True,afternoon,2,14
734780,593576,30.3485843,-97.7979049,30.240519,-97.7557663,"n capital of texas hwy, austin, united states, 78746","2316 euclid avenue, austin, tx, usa",2025-09-07 15:07:27,9,2025-09-07,15,Sunday,True,afternoon,1,9
734779,599647,30.3490153,-97.7975134,30.2118472,-97.7717196,"n capital of texas hwy, austin, united states, 78730","5010 congress avenue, austin, tx, usa",2025-09-07 15:06:28,9,2025-09-07,15,Sunday,True,afternoon,1,9
734775,77171,30.4231081,-97.9449271,30.3085966,-97.9429328,"travis southwest, rocky ridge rd, austin, united states, 78734","simply pho house, galleria circle, austin, tx, usa",2025-09-07 14:42:08,12,2025-09-07,14,Sunday,True,afternoon,1,12
734761,531314,30.2920134,-97.6983428,30.2972034,-97.7838253,"mueller, berkman dr, austin, united states, 78723","walsh boat landing, scenic drive, austin, tx, usa",2025-09-07 14:22:22,10,2025-09-07,14,Sunday,True,afternoon,7,10
734760,9185,30.2284143,-97.7670228,30.3491925,-97.797467,"dawson, s 1st st, austin, united states, 78704","loop 360 boat ramp, 5019 tx-360 loop, austin, tx 78746, usa",2025-09-07 14:22:36,10,2025-09-07,14,Sunday,True,afternoon,5,10
734745,238212,30.2922723,-97.7422113,30.3858632,-97.9545695,"west campus, nueces st, austin, united states, 78705","205 bella vista cove, austin, tx, usa",2025-09-07 11:31:37,8,2025-09-07,11,Sunday,True,morning,8,8
734742,599647,30.2114663,-97.7719823,30.3485517,-97.7974447,"west congress, s congress ave, austin, united states, 78745","5019 n capital of texas hwy, austin, tx 78746, usa",2025-09-07 11:33:14,8,2025-09-07,11,Sunday,True,morning,1,8
734739,599649,30.2846898,-97.7468617,30.2809699,-97.7306618,"west campus, w 21st st, austin, united states, 78705","moody center, robert dedman drive, austin, tx, usa",2025-09-07 11:14:13,5,2025-09-07,11,Sunday,True,morning,1,5
734737,280857,30.2839546,-97.7440829,30.4445875,-97.9142529,"west campus, w 21st st, austin, united states, 78705","aquaholics watercraft rental, dodd street, volente, tx, usa",2025-09-07 10:57:03,10,2025-09-07,10,Sunday,True,morning,4,10
734734,593332,30.2882864,-97.7454262,30.4448676,-97.9136902,"west campus, w 24th st, austin, united states, 78705","16203 dodd st, volente, tx 78641, usa",2025-09-07 10:52:23,14,2025-09-07,10,Sunday,True,morning,12,14
734730,597710,30.2498,-97.8317727,30.3499003,-97.7970287,"4401 mesquite spring cove, austin, tx, usa","pennybacker bridge, north capital of texas highway, austin, tx, usa",2025-09-07 10:47:09,9,2025-09-07,10,Sunday,True,morning,1,9
734729,593755,30.207541,-97.7902355,30.194085,-97.6710889,"garrison park, eureka dr, austin, united states, 78745","austin-bergstrom international airport (aus), presidential boulevard, austin, tx, usa",2025-09-07 10:45:53,9,2025-09-07,10,Sunday,True,morning,1,9
734720,287651,30.3444766,-97.8740358,30.4231589,-97.9471602,"travis southwest, cliffwood dr, austin, united states, 78733","17141 rocky ridge road, austin, tx, usa",2025-09-07 10:40:38,11,2025-09-07,10,Sunday,True,morning,1,11
734711,593576,30.2405707,-97.7558285,30.3491925,-97.797467,"bouldin creek, euclid ave, austin, united states, 78704","loop 360 boat ramp, texas 360 loop, austin, tx, usa",2025-09-07 09:55:08,9,2025-09-07,9,Sunday,True,morning,1,9
734704,599613,30.2621748,-97.7322157,30.4231589,-97.9471602,"east cesar chavez, e 3rd st, austin, united states, 78702","17141 rocky ridge road, austin, tx, usa",2025-09-07 09:12:54,8,2025-09-07,9,Sunday,True,morning,1,8
734701,77171,30.297799,-97.8498161,30.4231589,-97.9471602,"1000 barton creek boulevard, austin, tx, usa","17141 rocky ridge road, austin, tx, usa",2025-09-07 09:24:51,11,2025-09-07,9,Sunday,True,morning,1,11
734682,257093,30.2681574,-97.7429529,30.1900267,-97.9037924,"congress ave district, w 6th st, austin, united states, 78701","7228 tanaqua lane, austin, tx, usa",2025-09-07 03:09:02,7,2025-09-07,3,Sunday,True,night,2,7
734681,79768,30.3319783,-97.6247971,30.2910085,-97.7456584,"travis northeast, reservoir ct, austin, united states, 78754","villas on 26th, west 26th street, austin, tx, usa",2025-09-07 03:19:55,9,2025-09-07,3,Sunday,True,night,8,9
734680,231920,30.3362578,-97.7203291,30.2863449,-97.7501826,"brentwood, n lamar blvd, austin, united states, 78752","1107 west 22 1/2 street, austin, tx, usa",2025-09-07 03:14:09,12,2025-09-07,3,Sunday,True,night,6,12
734675,440399,30.2811762,-97.74409,30.2839731,-97.7463563,"arts district, w 18th st, austin, united states, 78701","711 west 21st street, austin, tx, usa",2025-09-07 03:05:05,7,2025-09-07,3,Sunday,True,night,1,7
734671,598754,30.2649236,-97.7322187,30.4173862,-97.8910404,"east end, e 6th st, austin, united states, 78702","14005 skyline drive, austin, texas 78732, usa",2025-09-07 03:00:13,7,2025-09-07,3,Sunday,True,night,5,7
734667,599594,30.2670925,-97.7446595,30.2600521,-97.7391114,"warehouse district, colorado st, austin, united states, 78701","hotel van zandt, davis street, austin, tx, usa",2025-09-07 02:49:57,7,2025-09-07,2,Sunday,True,night,1,7
734665,485369,30.1808615,-97.6873142,30.2562812,-97.7626421,"southeast austin, us-183 n, austin, united states, 78744","1100 south lamar boulevard, austin, tx, usa",2025-09-07 02:46:42,7,2025-09-07,2,Sunday,True,night,1,7
734664,115031,30.2669921,-97.7449514,30.2785029,-97.6920968,"warehouse district, colorado st, austin, united states, 78701","1202 perez street, austin, tx, usa",2025-09-07 02:36:09,14,2025-09-07,2,Sunday,True,night,7,14
734657,46253,30.2701347,-97.7500403,30.285671,-97.7431668,"market district, w 6th st, austin, united states, 78701","moontower, san antonio street, austin, tx, usa",2025-09-07 02:27:40,3,2025-09-07,2,Sunday,True,night,2,3
734655,487878,30.2688988,-97.7496729,30.4634189,-97.772112,"market district, w 5th st, austin, united states, 78701","13323 villa park drive, austin, tx, usa",2025-09-07 02:27:45,9,2025-09-07,2,Sunday,True,night,4,9
734651,57340,30.2641119,-97.7298201,30.4649784,-97.6700867,"east end, e 6th st, austin, united states, 78702","16328 south interstate 35 frontage road, austin, tx 78728, united states",2025-09-07 02:26:51,7,2025-09-07,2,Sunday,True,night,4,7
734650,582675,30.2676147,-97.7408058,30.285671,-97.7431668,"sixth street, e 6th st, austin, united states, 78701","moontower, san antonio street, austin, tx, usa",2025-09-07 02:24:40,7,2025-09-07,2,Sunday,True,night,7,7
734649,330791,30.2963619,-97.7386054,30.2880745,-97.7440939,"north university, whitis ave, austin, united states, 78705","yugo austin waterloo, seton avenue, austin, tx, usa",2025-09-07 02:21:08,4,2025-09-07,2,Sunday,True,night,3,4
734647,598775,30.2663971,-97.739535,30.2544597,-97.7729292,"sixth street, trinity st, austin, united states, 78701","2005 peach tree street, austin, tx, usa",2025-09-07 02:23:27,11,2025-09-07,2,Sunday,True,night,1,11
734644,367283,30.2927166,-97.7415804,30.3318668,-97.6245119,"west campus, guadalupe st, austin, united states, 78705","bare cabaret austin, reservoir court, austin, tx, usa",2025-09-07 02:25:38,9,2025-09-07,2,Sunday,True,night,8,9
734641,440399,30.2660519,-97.7396507,30.2874829,-97.7461563,"convention center district, e fifth st, austin, united states, 78701","the mark austin, west 23rd street, austin, tx, usa",2025-09-07 02:20:58,8,2025-09-07,2,Sunday,True,night,1,8
734638,94754,30.2671417,-97.7393702,30.3822882,-97.7232122,"sixth street, trinity st, austin, united states, 78701","zola hookah lounge, rutland drive, austin, tx, usa",2025-09-07 02:13:18,9,2025-09-07,2,Sunday,True,night,8,9
734637,307276,30.2695646,-97.7477043,30.1967745,-97.7059206,"market district, w 6th st, austin, united states, 78701","divas men's club, felter lane, austin, tx, usa",2025-09-07 02:19:14,5,2025-09-07,2,Sunday,True,night,1,5
734636,284935,30.2669638,-97.7391325,30.2923563,-97.7442071,"sixth street, e 6th st, austin, united states, 78701","1883 at cameron, rio grande street, austin, tx, usa",2025-09-07 02:18:43,7,2025-09-07,2,Sunday,True,night,1,7
734635,327399,30.266013,-97.7387145,30.2902705,-97.7449089,"convention center district, e fifth st, austin, united states, 78701","2512 rio grande st, austin, tx 78705, usa",2025-09-07 02:25:15,6,2025-09-07,2,Sunday,True,night,5,6
734630,327891,30.2688272,-97.7385632,30.2916671,-97.7446834,"downtown, trinity st, austin, united states, 78701","legacy on rio, rio grande street, austin, tx, usa",2025-09-07 02:19:06,7,2025-09-07,2,Sunday,True,night,6,7
734620,38060,30.2636556,-97.7272674,30.2650437,-97.742201,"east end, e 6th st, austin, united states, 78702","301 brazos street, austin, tx, usa",2025-09-07 02:13:27,14,2025-09-07,2,Sunday,True,night,1,14
734617,81804,30.2712192,-97.7501207,30.2878405,-97.7451265,"market district, west ave, austin, united states, 78701","union on 24th, west 24th street, austin, tx, usa",2025-09-07 02:16:42,12,2025-09-07,2,Sunday,True,night,8,12
734616,358219,30.2679496,-97.7391125,30.285671,-97.7431668,"sixth street, e 7th st, austin, united states, 78701","moontower, san antonio street, austin, tx, usa",2025-09-07 02:20:41,9,2025-09-07,2,Sunday,True,night,4,9
734615,414440,30.2696476,-97.7494618,30.2556226,-97.7106414,"market district, rio grande st, austin, united states, 78701","2812 east 4th street, austin, tx, usa",2025-09-07 02:15:48,13,2025-09-07,2,Sunday,True,night,6,13
734614,188575,30.2700202,-97.7497095,30.2866193,-97.7449191,"market district, w 6th st, austin, united states, 78701","raku sushi & asian bistro, rio grande street, austin, tx, usa",2025-09-07 02:05:33,7,2025-09-07,2,Sunday,True,night,5,7
734612,78875,30.1805641,-97.6865219,30.3720918,-97.9154593,"southeast austin, daniel alexander way, austin, united states, 78719","2205 big horn drive, austin, tx, usa",2025-09-07 02:10:14,9,2025-09-07,2,Sunday,True,night,1,9
734610,219309,30.2633307,-97.7275305,30.2325153,-97.6929577,"east end, e 6th st, austin, united states, 78702","910 vasquez street, austin, tx, usa",2025-09-07 02:13:20,10,2025-09-07,2,Sunday,True,night,8,10
734609,195176,30.2662738,-97.7395725,30.2916671,-97.7446834,"convention center district, trinity st, austin, united states, 78701","legacy on rio, rio grande street, austin, tx, usa",2025-09-07 02:19:08,14,2025-09-07,2,Sunday,True,night,1,14
734607,186246,30.2668954,-97.7383766,30.3294777,-97.692619,"sixth street, e 6th st, austin, united states, 78701","1204 fairbanks dr, austin, tx, usa",2025-09-07 02:13:21,8,2025-09-07,2,Sunday,True,night,3,8
734605,525976,30.2672742,-97.7390912,30.2932266,-97.8355979,"sixth street, e 6th st, austin, united states, 78701","866 castle ridge road, austin, tx, usa",2025-09-07 02:07:59,7,2025-09-07,2,Sunday,True,night,4,7
734604,211432,30.2698289,-97.7506542,30.2870342,-97.7457869,"market district, west ave, austin, united states, 78701","the standard at austin, west 23rd street, austin, tx, usa",2025-09-07 02:03:46,6,2025-09-07,2,Sunday,True,night,4,6
734603,508228,30.2664132,-97.7355952,30.2878405,-97.7451265,"sixth street, e 6th st, austin, united states, 78701","union on 24th, west 24th street, austin, tx, usa",2025-09-07 02:08:57,7,2025-09-07,2,Sunday,True,night,2,7
734600,226563,30.2695031,-97.7481916,30.1532614,-97.7171398,"warehouse district, w 6th st, austin, united states, 78701","7600 hillock terrace, austin, tx, usa",2025-09-07 02:04:49,9,2025-09-07,2,Sunday,True,night,9,9
734598,454202,30.2701845,-97.7494915,30.2835622,-97.7448141,"market district, rio grande st, austin, united states, 78701","signature 1909, rio grande street, austin, tx, usa",2025-09-07 02:03:41,7,2025-09-07,2,Sunday,True,night,5,7
734595,225840,30.2673932,-97.7402053,30.2852936,-97.7432677,"sixth street, e 6th st, austin, united states, 78701","icon at austin, san antonio street, austin, tx, usa",2025-09-07 02:01:30,6,2025-09-07,2,Sunday,True,night,6,6
